Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C4, C5",0603,4,0.47uF,
"C10, C11, C12, C13, C14, C15, C16, C9",0402,8,100nF,
"C2, C6, C8",0603,3,4.7uF,
C7,0603,1,1uF,
D1,D_SOD-323,1,1N5819WS,
J1,PinHeader_1x10_P2.54mm_Vertical,1,Conn_01x10,
"J2, J5",HIROSE_FH12-30S-0.5SH_55_,2,FH12-30S-0.5SH_55_,
J4,TE_1-1734248-5,1,1-1734248-5,
J6,2-1734248-0,1,2-1734248-0,
L1,1210,1,L,
"R1, R2, R3, R4, R5",0603,5,0,
"R10, R11, R6, R7, R8, R9",0603,6,10k,
R12,0603,1,39k,
R13,0603,1,160k,
R14,0603,1,230k,
R15,0603,1,100k,
R16,0603,1,6.8,
"TP1, TP10, TP11, TP12, TP13, TP14, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D1.0mm,14,TestPoint,
"U1, U2",SOT-23-5,2,TLV75801PDBV,
U3,DRB8_1P75X1P5,1,TPS61042DRBR,
