"Reference","Value","LCSC#"
"VD1","BAS70-06.215","C8651"
"U4","PCA9306DCURG4","C33196"
"U3","TPS61042DRBR","C91304"
"U2","TLV75801PDBV","C2877852 "
"U1","TLV75801PDBV","C2877852 "
"R29","330","C23138"
"R28","0","C21189"
"R27","0","C21189"
"R26","0","C21189"
"R25","0","C21189"
"R24","0","C21189"
"R23","200k","C25811"
"R22","1k","C21190"
"R21","1k","C21190"
"R20","0","C21189"
"R19","0","C21189"
"R18","15k","C22809"
"R17","2k7","C13167"
"R16","2","C22977"
"R15","82k","C23254"
"R14","220k","C22961"
"R13","220k","C22961"
"R12","51k","C23196"
"R11","4.7","C23164"
"R10","0","C21189"
"R9","10k","C25804"
"R8","10k","C25804"
"R7","10k","C25804"
"R5","0","C21189"
"R4","0","C21189"
"R3","330","C23138"
"R2","0","C21189"
"R1","330","C23138"
"Q2","2N7002","C8545"
"Q1","2N7002","C8545"
"L1","L","C703083"
"J4","Conn_02x20_Odd_Even","C2685092"
"J2","FH12-30S-0.5SH_55_"," C506793"
"J1","2-84953-0","C590867"
"D1","1N5819WS","C191023"
"C16","100nF","C1525"
"C15","100nF","C1525"
"C14","100nF","C1525"
"C13","100nF","C1525"
"C12","0.47uF","C1623"
"C11","0.47uF","C1623"
"C10","0.47uF","C1623"
"C9","0.47uF","C1623"
"C8","4.7uF","C19666 "
"C7","1uF","C15849"
"C6","4.7uF","C19666 "
"C5","0.47uF","C1623"
"C4","0.47uF","C1623"
"C3","0.47uF","C1623"
"C2","4.7uF","C19666 "
"C1","0.47uF","C1623"
