Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C3, C4, C5, C9",0603,8,0.47uF,
"C13, C14, C15, C16",0402,4,100nF,
"C2, C6, C8",0603,3,4.7uF,
C7,0603,1,1uF,
D1,D_SOD-323,1,1N5819WS,
J1,TE_2-84953-0,1,2-84953-0,
J2,HIROSE_FH12-30S-0.5SH_55_,1,FH12-30S-0.5SH_55_,
J4,PinSocket_2x20_P2.54mm_Vertical_SMD,1,Conn_02x20_Odd_Even,
L1,1210,1,L,
"Q1, Q2",SOT-23,2,2N7002,
"R1, R29, R3",0603,3,330,
"R10, R19, R2, R20, R24, R25, R26, R27, R28, R4, R5",0603,11,0,
R11,0603,1,4.7,
R12,0603,1,51k,
"R13, R14",0603,2,220k,
R15,0603,1,82k,
R16,0603,1,2,
R17,0603,1,2k7,
R18,0603,1,15k,
"R21, R22",0603,2,1k,
R23,0603,1,200k,
R6,0603,1,100k,
"R7, R8, R9",0603,3,10k,
"U1, U2",SOT-23-5,2,TLV75801PDBV,
U3,DRB8_1P75X1P5,1,TPS61042DRBR,
U4,SOP50P310X90-8N,1,PCA9306DCURG4,
VD1,SOT23,1,BAS70-06.215,
