Designator,Mid X,Mid Y,Rotation,Layer
C1,140.5,-132.1,90.0,bottom
C10,80.9,-107.4,180.0,bottom
C11,80.9,-108.9,180.0,bottom
C12,79.95,-121.925,90.0,bottom
C13,89.39,-115.51,0.0,bottom
C14,89.38,-118.41,0.0,bottom
C15,85.88,-115.63,0.0,bottom
C16,85.9,-118.26,0.0,bottom
C2,139.0,-132.1,90.0,bottom
C3,136.4,-137.038999,0.0,bottom
C4,129.0775,-136.85,0.0,bottom
C5,131.6,-132.1,90.0,bottom
C6,133.1,-132.1,90.0,bottom
C7,119.295,-130.13,0.0,bottom
C8,119.4,-136.3,0.0,bottom
C9,108.28,-122.21,180.0,bottom
D1,122.44,-130.04,180.0,bottom
J1,100.0,-114.0,90.0,bottom
J2,78.25,-114.0,90.0,bottom
J3,114.0,-148.0,0.0,top
J4,114.0,-148.0,270.0,bottom
L1,124.2,-133.3,90.0,bottom
Q1,105.25,-101.15,180.0,bottom
Q2,90.2,-134.8,180.0,bottom
R1,92.1175,-132.28,0.0,bottom
R11,115.825,-136.0,180.0,bottom
R12,136.4,-129.988999,0.0,bottom
R13,136.4,-131.438999,180.0,bottom
R14,129.0775,-131.2,180.0,bottom
R15,129.0775,-129.7,0.0,bottom
R16,117.2,-134.5,180.0,bottom
R17,136.4,-128.5,180.0,bottom
R18,129.1,-128.2,180.0,bottom
R21,107.605,-129.41,180.0,bottom
R22,104.53,-129.41,0.0,bottom
R23,108.29,-120.71,180.0,bottom
R24,106.28,-117.43,270.0,bottom
R25,104.7,-117.43,270.0,bottom
R26,106.85,-131.73,270.0,bottom
R27,105.28,-131.73,270.0,bottom
R29,103.9,-107.4,180.0,bottom
R3,109.55,-101.15,90.0,bottom
R5,103.9,-104.4,180.0,bottom
R7,92.9275,-134.77,90.0,bottom
R8,86.8,-132.2,0.0,bottom
R9,102.2,-101.2,270.0,bottom
U1,136.385,-134.244,270.0,bottom
U2,129.1,-134.0,270.0,bottom
U3,120.6712,-133.244,90.0,bottom
U4,106.8,-125.1575,90.0,bottom
VD1,106.2,-108.9,270.0,bottom
