"Reference","Value","Footprint","Mouser P/N","REC P/N","LCSC Part #"
"C201,C211,C213,C214,C216,C217,C218,C219,C501,C1001","4.7uF","lib:C_0402_small","81-GRM155R60J475ME7J","GRM155R60J475ME47","C23733"
"C202,C204,C205,C206,C207,C208,C215,C412,C427,C1103,C1106","10uF","Capacitor_SMD:C_0603_1608Metric","81-GRT188R61A106KE3D","GRT188R61A106KE13D","C96446"
"C203,C701,C702,C704","10nF","lib:C_0402_small","81-GRM155R71C103KA1J"," GRM155R71C103KA01J","C15195"
"C209,C210,C212,C301,C302,C303,C304,C305,C306,C307,C308,C309,C310,C311,C312,C313,C314,C315,C316,C317,C318,C319,C320,C321,C322,C323,C324,C325,C326,C327,C332,C334,C335,C336,C337,C339,C341,C343,C906,C1002,C1004,C1007,C1008","1uF","lib:C_0402_small","81-GRM155R61E105KA2D","GRM155R61E105KA12D","C52923"
"C220,C221,C222,C223,C907,C908","22uF","Capacitor_SMD:C_0603_1608Metric","81-GRM188R60J226ME0J","GRM188R60J226MEA0J","C59461"
"C328,C329,C330,C331","1nF","lib:C_0402_small","81-GRM155R70J102KA1D","GRM155R70J102KA01D","C1523"
"C333,C345,C401,C402,C403,C404,C405,C406,C407,C408,C409,C410,C411,C413,C414,C415,C416,C417,C418,C419,C420,C421,C422,C423,C424,C425,C426,C428,C429,C430,C431,C901,C902,C903,C904,C905,C1003,C1005,C1006,C1102,C1105","100nF","lib:C_0402_small","81-GRM155R61E104KA7J"," GRM155R61E104KA87J","C307331"
"C338","CPH3225A","lib:CAPCP3225X100N","628-CPH3225A","CPH3225A",""
"C340,C342,C344","2.2uF","lib:C_0402_small","81-GRT153R60J225ME3D"," GRT153R60J225ME13D","C12530"
"C601,C602","6.8pF","lib:C_0402_small","","","C88896"
"C703,C705","6.8pF","lib:C_0402_small","","","C88896"
"C1101,C1104","100pF","lib:C_0402_small","","","C1546"
"D201,D603,D605,D701","DF2S5M4CT,L3F","Diode_SMD:D_SOD-882","","","C556302"
"D501","MSP3V3-M3/89A","Diode_SMD:D_MicroSMP_KA","","","C506620"
"D601,D1102","LED_B","LED_SMD:LED_0402_1005Metric","","","C130723"
"D602","LED_R","LED_SMD:LED_0402_1005Metric","","","C130723"
"D604,D1101,D1103","ESDA7P120-1U1M","lib:DIODE_ESDA7P120-1U1M_STM","","","C2969802"
"D1001","1N5819WS","Diode_SMD:D_SOD-323","","","C191023"
"J501","MEM2090-00-145-00-A_REVA","lib:GCT_MEM2090-00-145-00-A_REVA","640-MEM20900014500A","MEM2090-00-145-00-A",""
"J601","M40-3100645R","lib:HARWIN_M40-3100645R","855-M40-3100645R","M40-3100645R",""
"J701","FTSH-107-01-L-DV-K-A","lib:SAMTEC_FTSH-107-01-L-DV-K-A","","","C5563894"
"J1001","FH12-30S-0.5SH_55_","lib:HIROSE_FH12-30S-0.5SH_55_","","","C506793"
"J1101,J1102","USB4510-03-1-A_REVA","lib:GCT_USB4510-03-1-A_REVA","","","C5815192"
"L201","DFE201612E-2R2M=P2","lib:INDC2016X120N","","","C337893"
"L202,L203,L204,L205","1uH","Inductor_SMD:L_1008_2520Metric","81-DFE252012P-1R0MP2","DFE252012P-1R0M=P2","C882955"
"L301","1uH","Inductor_SMD:L_0603_1608Metric","810-MLZ1608M4R7WT000","MLZ1608M4R7WT000","C76799"
"L1001","4.7uH","Inductor_SMD:L_1210_3225Metric","","DFE322512F-4R7M=P2","C703083"
"Q201","DMG1013T-7","Package_TO_SOT_SMD:SOT-523","","","C96676"
"Q1001,Q1002,Q1003","DMG1012TQ-7","Package_TO_SOT_SMD:SOT-523","","","C531154"
"R201,R404,R405,R505,R701,R702,R704,R706,R708,R901,R1002,R1003,R1005,R1006,R1007,R1008","10k","Resistor_SMD:R_0402_1005Metric","","","C25744"
"R202","1M","lib:C_0402_small","","","C26083"
"R203,R1001","0","Resistor_SMD:R_0402_1005Metric","","","C17168"
"R401,R402,R1103","240","Resistor_SMD:R_0402_1005Metric","","","C25094"
"R403,R712,R913","100","Resistor_SMD:R_0402_1005Metric","","","C25076"
