Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,Mouser P/N,LCSC Part #,REC P/N,LCSC#,MF,Description_1,Price,SnapEDA_Link,MP,Availability,Check_prices,STANDARD,PARTREV,MANUFACTURER,Sim.Pins,MAXIMUM_PACKAGE_HEIGHT,match conn,P/N,Field6,TOL,MOUSER-PURCHASE-URL,DESCRIPTION,PRICE,TEXAS_INSTRUMENTS-PURCHASE-URL,AVAILABILITY
"C1, C1003, C1005, C1008, C1102, C333, C345, C4, C401, C402, C403, C404, C405, C406, C407, C408, C409, C410, C411, C412, C413, C414, C415, C416, C417, C418, C419, C420, C421, C422, C423, C425, C426, C428, C429, C430, C431, C5, C8, C901, C902",41,100nF,C_0402_small,,,,smt,Unpolarized capacitor,81-GRM155R61E104KA7J,C307331, GRM155R61E104KA87J,C1525,,,,,,,,,,,,,,,,,,,,,
"C1001, C201, C211, C213, C214, C216, C217, C218, C219, C501",10,4.7uF,C_0402_small,,,,smt,Unpolarized capacitor,81-GRM155R60J475ME7J,C23733,GRM155R60J475ME47,,,,,,,,,,,,,,,,,,,,,,
"C1002, C1004, C1006, C1007, C209, C210, C212, C301, C302, C303, C304, C305, C306, C307, C308, C309, C310, C311, C312, C313, C314, C315, C316, C317, C318, C319, C320, C321, C322, C323, C324, C325, C326, C327, C332, C334, C335, C336, C337, C339, C341, C343, C6",43,1uF,C_0402_small,,,,smt,Unpolarized capacitor,81-GRM155R61E105KA2D,C52923,GRM155R61E105KA12D,,,,,,,,,,,,,,,,,,,,,,
"C1101, C7",2,100pF,C_0402_small,,,,smt,Unpolarized capacitor,,C1546,,,,,,,,,,,,,,,,,,,,,,,
"C1103, C202, C204, C205, C206, C207, C208, C215, C424, C427, C9",11,10uF,C_0603_1608Metric,,,,smt,Unpolarized capacitor,81-GRT188R61A106KE3D,C96446,GRT188R61A106KE13D,,,,,,,,,,,,,,,,,,,,,,
"C2, C220, C221, C222, C223, C3",6,22uF,C_0603_1608Metric,,,,smt,Unpolarized capacitor,81-GRM188R60J226ME0J,C59461,GRM188R60J226MEA0J,,,,,,,,,,,,,,,,,,,,,,
"C203, C701, C702, C704",4,10nF,C_0402_small,,,,smt,Unpolarized capacitor,81-GRM155R71C103KA1J,C15195, GRM155R71C103KA01J,,,,,,,,,,,,,,,,,,,,,,
"C328, C329, C330, C331",4,1nF,C_0402_small,,,,smt,Unpolarized capacitor,81-GRM155R70J102KA1D,C1523,GRM155R70J102KA01D,,,,,,,,,,,,,,,,,,,,,,
C338,1,CPH3225A,CAPCP3225X100N,1210 Seiko,,,smt,,,,,,Seiko Instruments,11 mF (EDLC) Supercapacitor 3.3 V 1210 (3225 Metric) - -,None,https://www.snapeda.com/parts/CPH3225A/Seiko/view-part/?ref=snap,CPH3225A,In Stock,https://www.snapeda.com/parts/CPH3225A/Seiko/view-part/?ref=eda,,,,,,,,,,,,,,
"C340, C342, C344",3,2.2uF,C_0402_small,,,,smt,Unpolarized capacitor,81-GRT153R60J225ME3D,C12530, GRT153R60J225ME13D,,,,,,,,,,,,,,,,,,,,,,
"C601, C602",2,6.8pF,C_0402_small,,,,smt,Unpolarized capacitor,,C88896,,,,,,,,,,,,,,,,,,,,,,,
C703,1,6.8pF,C_0402_small,,,Yes,smt,Unpolarized capacitor,,C88896,,,,,,,,,,,,,,,,,,,,,,,
C705,1,6.8pF,C_0402_small,,,Yes,smt,Unpolarized capacitor,,C88896,,,,,,,,,,,,,,,,,,,,,,,
"D1, D1101, D4",3,ESDA7P120-1U1M,DIODE_ESDA7P120-1U1M_STM,,,,smt,"400W unidirectional Transient Voltage Suppressor, 5.0Vr, SMA(DO-214AC)",,C2969802,,,,,,,,,,,,,,,,,,,,,,,
D1001,1,1N5819WS,D_SOD-323,,,,smt,"40V 600mV@1A 1A SOD-323 Schottky Barrier Diodes, SOD-323",,C191023,,C191023,,,,,,,,,,,,,,,,,,,,,
"D2, D3, D5, D6",4,"DF2S5M4CT,L3F",D_SOD-882,None,,,smt,,,C556302,,,NXP Semiconductors,TVS Diode Single Uni-Dir 3.3V 400W Automotive 2-Pin SOD-123W T/R,None,https://www.snapeda.com/parts/PTVS3V3S1UR/NXP+Semiconductors/view-part/?ref=snap,,In Stock,https://www.snapeda.com/parts/PTVS3V3S1UR/NXP+Semiconductors/view-part/?ref=eda,Manufacturer Recommendations,Rev. 3,Nexperia,,,,,,,,,,,
D501,1,MSP3V3-M3/89A,D_MicroSMP_KA,None,,,smt,,,C506620,,,NXP Semiconductors,TVS Diode Single Uni-Dir 3.3V 400W Automotive 2-Pin SOD-123W T/R,None,https://www.snapeda.com/parts/PTVS3V3S1UR/NXP+Semiconductors/view-part/?ref=snap,,In Stock,https://www.snapeda.com/parts/PTVS3V3S1UR/NXP+Semiconductors/view-part/?ref=eda,Manufacturer Recommendations,Rev. 3,Nexperia,,,,,,,,,,,
"D601, D7",2,LED_B,LED_0402_1005Metric,,,,smt,Light emitting diode,,C130723,,,,,,,,,,,,,1=K 2=A,,,,,,,,,,
D602,1,LED_R,LED_0402_1005Metric,,,,smt,Light emitting diode,,C130723,,,,,,,,,,,,,1=K 2=A,,,,,,,,,,
"J1, J1101",2,USB4510-03-1-A_REVA,GCT_USB4510-03-1-A_REVA,None,,,smt,,,C5815192,,,Global Connector Technology,"USB CONN, 2.0 TYPE C, R/A RCPT, 16POS; USB Connector Type:USB Type C; USB Standard:USB 2.0; Gender:Receptacle; No. of Positions:16Positions; Connector Mounting:Surface Mount, Through Hole Mount; Orientation:Right Angle",None,https://www.snapeda.com/parts/USB4510031A/Global+Connector+Technology/view-part/?ref=snap,USB4510031A,In Stock,https://www.snapeda.com/parts/USB4510031A/Global+Connector+Technology/view-part/?ref=eda,Manufacturer Recommendations,A,GCT,,2.46mm,,,,,,,,,
J1001,1,FH12-30S-0.5SH_55_,HIROSE_FH12-30S-0.5SH_55_,,,,smt,,,C506793,, C506793,,,,,,,,Manufacturer Recommendation,,Hirose,,,,,,,,,,,
J3,1,M40-3100645R,HARWIN_M40-3100645R,None,,,smt,,,,,,Harwin,"1.00mm Pitch DIL Vertical SMT Socket Assembly, location pegs, gold, 6+6 contacts, pick & place (Tape & Reel packing)",None,https://www.snapeda.com/parts/M40-3100645R/Harwin/view-part/?ref=snap,M40-3100645R,In Stock,https://www.snapeda.com/parts/M40-3100645R/Harwin/view-part/?ref=eda,Manufacturer Recommendations,,HARWIN,,,M40-3201045R,,,,,,,,
J501,1,MEM2090-00-145-00-A_REVA,GCT_MEM2090-00-145-00-A_REVA,,,,smt,,640-MEM20900014500A,,MEM2090-00-145-00-A,,,,,,MEM2090-00-145-00-A,,,,,,,,,MEM2090-00-145-00-A,,,,,,,
J701,1,FTSH-107-01-L-DV-K-A,SAMTEC_FTSH-107-01-L-DV-K-A,None,,,smt,,,,,,Samtec Inc.,Connector Header Surface Mount 14 position 0.050 (1.27mm),None,https://www.snapeda.com/parts/FTSH-107-01-L-DV-K-A/Samtec+Inc./view-part/?ref=snap,FTSH-107-01-L-DV-K-A,In Stock,https://www.snapeda.com/parts/FTSH-107-01-L-DV-K-A/Samtec+Inc./view-part/?ref=eda,Manufacturer Recommendation,H,Samtec,,6.23mm,,,,,,,,,
L1001,1,4.7uH,L_1210_3225Metric,,,,smt,DFE322512F-4R7M=P2,,C703083,DFE322512F-4R7M=P2,C703083,,,,,,,,,,,,,,,,,,,,,
L201,1,DFE201612E-2R2M=P2,INDC2016X120N,,,,smt,,,,,,,,,,,,,,,,,,,,,,,,,,
"L202, L203, L204, L205",4,1uH,L_1008_2520Metric,,,,smt,Inductor,81-DFE252012P-1R0MP2,C882955,DFE252012P-1R0M=P2,,,,,,,,,,,,,,,,,,,,,,
L301,1,1uH,L_0603_1608Metric,,,,smt,Inductor,810-MLZ1608M4R7WT000,C76799,MLZ1608M4R7WT000,,,,,,,,,,,,,,,,,,,,,,
"Q1, Q2, Q3",3,DMG1012TQ-7,SOT-523,,,,smt,"20V Vds, 0.63 Id, N-Channel MOSFET with ESD protection, SOT-523",,,,,,,,,,,,,,,,,,,,,,,,,
Q201,1,DMG1013T-7,SOT-523,,,,smt,"P-MOSFET transistor, gate/source/drain",,,,,,,,,,,,,,,,,,,,,,,,,
"R1, R403, R712",3,100,R_0402_1005Metric,,,,smt,Resistor,,C25076,,,,,,,,,,,,,,,,,,,,,,,
"R1001, R203",2,0,R_0402_1005Metric,,,,smt,Resistor,,C17168,,,,,,,,,,,,,,,,,,,,,,,
"R1002, R1003, R1005, R1006, R1007, R1008, R201, R404, R405, R505, R701, R702, R704, R706, R708, R901",16,10k,R_0402_1005Metric,,,,smt,Resistor,,C25744,,,,,,,,,,,,,,,,,,,,,,,
R1004,1,6.8,R_0402_1005Metric,,,,smt,Resistor,,C38373,,C23164,,,,,,,,,,,,,,,,,,,,,
"R1009, R1010, R605, R606, R801",5,3k,R_0402_1005Metric,,,,smt,Resistor,,C25784,,,,,,,,,,,,,,,,,,,,,,,
"R1101, R1102",2,5k1,R_0402_1005Metric,,,,smt,Resistor,,C25905,,,,,,,,,,,,,,,,,,,,,,,
"R2, R501, R502, R503, R506, R507, R603, R604, R8, R903, R904, R905, R906",13,47k,R_0402_1005Metric,,,,smt,Resistor,,C25792,,,,,,,,,,,,,,,,,,,,,,,
R202,1,1M,C_0402_small,,,,smt,Resistor,,C26083,,,,,,,,,,,,,,,,,,,,,,,
"R3, R907, R908, R909, R910, R911, R912",7,33,R_0402_1005Metric,,,,smt,Resistor,,,,,,,,,,,,,,,,,,,,,,,,,
"R4, R5, R6",3,56k,R_0402_1005Metric,,,,smt,Resistor,,,,,,,,,,,,,,,,,,,,,,,,,
"R401, R402",2,240,R_0402_1005Metric,,,,smt,Resistor,,C25094,,,,,,,,,,,,,,,,,1%,1%,,,,,
"R406, R407, R408, R409, R410, R411, R412, R413, R414, R415, R416, R417, R418, R419, R420, R421, R422, R423, R424, R425, R426, R427, R428, R429",24,56,R_0402_1005Metric,,,,smt,Resistor,,C25127,,,,,,,,,,,,,,,,,,,,,,,
"R601, R602, R7",3,~,R_0402_1005Metric,,,,smt,Resistor,,,,,,,,,,,,,,,,,,,,,,,,,
R703,1,10k,R_0402_1005Metric,,,Yes,smt,Resistor,,C25744,,,,,,,,,,,,,,,,,,,,,,,
R705,1,10k,R_0402_1005Metric,,,Yes,smt,Resistor,,C25744,,,,,,,,,,,,,,,,,,,,,,,
R707,1,10k,R_0402_1005Metric,,,Yes,smt,Resistor,,C25744,,,,,,,,,,,,,,,,,,,,,,,
R709,1,0,R_0402_1005Metric,,,Yes,smt,Resistor,,C17168,,,,,,,,,,,,,,,,,,,,,,,
R710,1,1k,R_0402_1005Metric,,,,smt,Resistor,,C11702,,,,,,,,,,,,,,,,,,,,,,,
R711,1,10,R_0402_1005Metric,,,,smt,Resistor,,C25077,,,,,,,,,,,,,,,,,,,,,,,
"S1, S2",2,B3U-3000P,SW_B3U-3000P,,,,smt,,,,,,,,,,,,,,,Omron,,,,,,,,,,,
"TP1001, TP1002, TP1003, TP1004, TP1005, TP1006, TP1101, TP201, TP202, TP203, TP204, TP205, TP206, TP207, TP208, TP209, TP210, TP211, TP601, TP602, TP603, TP604, TP605, TP701, TP702, TP703, TP704, TP705, TP706, TP707",30,TestPoint,TP_0.5,,,,smt,test point,,,,,,,,,,,,,,,,,,,,,,,,,
U1,1,SIT1533AI-H4-DCC-32.768E,SIT1533AI_2X1.2MM,SMD-4 SiTIME,,,smt,,,,,,SiTIME,"32.768 kHz XO (Standard) LVCMOS Oscillator 1.5V ~ 3.63V - 4-SMD, No Lead",None,https://www.snapeda.com/parts/SIT1533AI-H4-DCC-32.768E/SiTime/view-part/?ref=snap,SIT1533AI-H4-DCC-32.768E,In Stock,https://www.snapeda.com/parts/SIT1533AI-H4-DCC-32.768E/SiTime/view-part/?ref=eda,,,,,,,,,,,,,,
U1001,1,TPS61042DRBR,DRB8_1P75X1P5,,,,smt,,,C91304,,C91304,,,,,,,,,,,,,,,,,,,,,
"U1101, U2, U3, U5, U501, U502, U702, U703",8,HSP051-4M10,IC_HSP051-4M10,UQFN-10 STMicroelectronics,,,smt,,511-HSP051-4M10,C1973641, HSP051-4M10,,STMicroelectronics,10V Clamp 1A (8/20µs) Ipp Tvs Diode Surface Mount 10-UQFN (2.5x1),,,,,,,,STMicroelectronics,,0.5mm,, HSP051-4M10,,,,,,,
U201,1,TPS62840DLCR,TPS62840DLCR,VSON-HR-8 Texas Instruments,,,smt,,,,,,Texas Instruments,"60-nA quiescent current (IQ), 1.8-V to 6.5-VIN, high-efficiency 750-mA step-down converter",None,https://www.snapeda.com/parts/TPS62840DLCR/Texas+Instruments/view-part/?ref=snap,TPS62840DLCR,In Stock,https://www.snapeda.com/parts/TPS62840DLCR/Texas+Instruments/view-part/?ref=eda,,,,,,,,,,https://snapeda.com/shop?store=Mouser&id=4216699,"60-nA IQ, 1.8-V to 6.5-VIN, high-efficiency 750-mA step-down converter 8-VSON-HR -40 to 125",None,https://snapeda.com/shop?store=Texas+Instruments&id=4216699,Warning
U202,1,STPMIC1APQR,QFN40P600X500X80-45N,,,,smt,,511-STPMIC1APQR,C2156052,STPMIC1APQR ,,,,,,,,,,,,,,,STPMIC1APQR ,,,,,,,
U4,1,STM32MP157FABx,ST_LFBGA-354_16x16mm_Layout19x19_P0.8mm,,,,smt,"STMicroelectronics Arm Cortex-A7 MCU, 0KB flash, 708KB RAM, 98 GPIO, LFBGA354",,C1236734,,,,,,,,,,,,,,,,,,,,,,,
U402,1,MT41K256M16TW-107_P,BGA96C80P9X16_1400X800X120,,,,smt,,340-265846-TRAY,C253882,MT41K256M16TW-107:P,,,,,,,,,IPC-7351B,P,Micron,,1.20mm,,MT41K256M16TW-107:P,,,,,,,
U901,1,MAYA-W166-00B,XCVR_MAYA-W166-00B,None,,,smt,,,,,,U-Blox,"Bluetooth, WiFi 802.11a/b/g/n, Bluetooth v5.2 +EDR, Class 1 and 2 Transceiver Module 2.4GHz, 5GHz PCB Trace Surface Mount",None,https://www.snapeda.com/parts/MAYA-W166-00B/u-blox/view-part/?ref=snap,MAYA-W166-00B,In Stock,https://www.snapeda.com/parts/MAYA-W166-00B/u-blox/view-part/?ref=eda,Manufacturer Recommendations,R06,u-blox,,1.9mm,,,,,,,,,
Y601,1,NX2012SA-32.768K,XTAL_NX2012SA-32.768K-STD-MUB-1,SMD-2,,,smt,,,C891748,,,"NDK America,","32.768 kHz ±20ppm Crystal 12.5pF 80 kOhms 2-SMD, No Lead",None,https://www.snapeda.com/parts/NX2012SA-32.768K-STD-MUB-1/NDK/view-part/?ref=snap,NX2012SA-32.768K-STD-MUB-1,In Stock,https://www.snapeda.com/parts/NX2012SA-32.768K-STD-MUB-1/NDK/view-part/?ref=eda,Manufacturer Recommendation,,,,,,,,,,Crystal 32.7680khz 12.5pf Smd,None,,Unavailable
Y701,1,ECS-2520MVQ-240,Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm,,,,smt,"HCMOS Crystal Clock Oscillator, 2.5x2.0 mm SMD",520-E2520MVQ240BSTR,,ECS-2520MVQ-240-BS-TR,,,,,,,,,,,,,,,ECS-2520MVQ-240-BS-TR,,,,,,,
