pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
66.4,-116.58,0.0,top,C1,,,C_0402_small,100nF,smt
68.0,-61.1,0.0,top,C1001,,,C_0402_small,4.7uF,smt
68.2,-66.9,-90.0,top,C1002,,,C_0402_small,1uF,smt
85.2,-84.7,-90.0,top,C1003,,,C_0402_small,100nF,smt
93.1,-67.0,180.0,top,C1004,,,C_0402_small,1uF,smt
85.6,-81.85,-90.0,top,C1005,,,C_0402_small,100nF,smt
81.1,-67.3,0.0,top,C1006,,,C_0402_small,1uF,smt
79.4,-67.3,180.0,top,C1007,,,C_0402_small,1uF,smt
86.93,-79.32,90.0,top,C1008,,,C_0402_small,100nF,smt
90.8,-119.65,0.0,bottom,C1101,,,C_0402_small,100pF,smt
90.8,-120.5,180.0,bottom,C1102,,,C_0402_small,100nF,smt
84.65,-120.0,0.0,top,C1103,,,C_0603_1608Metric,10uF,smt
77.5,-126.71,0.0,top,C2,,,C_0603_1608Metric,22uF,smt
64.3,-112.06,-90.0,top,C201,,,C_0402_small,4.7uF,smt
66.22,-110.76,180.0,top,C202,,,C_0603_1608Metric,10uF,smt
63.24,-102.95,90.0,bottom,C203,,,C_0402_small,10nF,smt
74.69,-98.835,-90.0,top,C204,,,C_0603_1608Metric,10uF,smt
69.79,-99.335,0.0,top,C205,,,C_0603_1608Metric,10uF,smt
75.79,-109.135,90.0,top,C206,,,C_0603_1608Metric,10uF,smt
71.59,-109.335,90.0,top,C207,,,C_0603_1608Metric,10uF,smt
69.24,-100.835,0.0,top,C208,,,C_0603_1608Metric,10uF,smt
69.765,-108.035,0.0,top,C209,,,C_0402_small,1uF,smt
69.765,-105.335,0.0,top,C210,,,C_0402_small,1uF,smt
79.7,-105.5625,180.0,top,C211,,,C_0402_small,4.7uF,smt
69.765,-103.535,0.0,top,C212,,,C_0402_small,1uF,smt
69.765,-109.01,0.0,top,C213,,,C_0402_small,4.7uF,smt
69.765,-104.435,0.0,top,C214,,,C_0402_small,4.7uF,smt
69.24,-102.335,180.0,top,C215,,,C_0603_1608Metric,10uF,smt
