Designator,Mid X,Mid Y,Rotation,Layer
C1001,68.0,-61.1,0.0,top
C1002,68.2,-66.9,270.0,top
C1003,85.2,-84.7,270.0,top
C1004,93.1,-67.0,180.0,top
C1005,85.6,-81.85,270.0,top
C1006,86.93,-79.32,90.0,top
C1007,81.1,-67.3,0.0,top
C1008,79.4,-67.3,180.0,top
C1101,104.98,-120.94,0.0,top
C1102,104.98,-120.12,180.0,top
C1103,98.37,-120.62,0.0,top
C1104,90.8,-119.65,180.0,bottom
C1105,90.8,-120.5,0.0,bottom
C1106,84.65,-120.0,0.0,top
C201,64.3,-112.06,270.0,top
C202,66.22,-110.76,180.0,top
C203,63.24,-102.95,90.0,bottom
C204,74.69,-98.835,270.0,top
C205,69.79,-99.335,0.0,top
C206,75.79,-109.135,90.0,top
C207,71.59,-109.335,90.0,top
C208,69.24,-100.835,0.0,top
C209,69.765,-108.035,0.0,top
C210,69.765,-105.335,0.0,top
C211,79.7,-105.5625,180.0,top
C212,69.765,-103.535,0.0,top
C213,69.765,-109.01,0.0,top
C214,69.765,-104.435,0.0,top
C215,69.24,-102.335,180.0,top
C216,79.7,-104.5625,180.0,top
C217,69.765,-106.235,0.0,top
C218,69.765,-107.135,0.0,top
C219,79.7,-103.6625,180.0,top
C220,77.565,-96.935,0.0,top
C221,69.815,-97.185,0.0,top
C222,76.49,-112.335,0.0,top
C223,72.29,-112.335,0.0,top
C301,96.42,-100.52,180.0,bottom
C302,101.34,-98.91,0.0,bottom
C303,99.71,-98.91,0.0,bottom
C304,101.325,-100.52,0.0,bottom
C305,94.06,-94.895,180.0,bottom
C306,101.32,-97.31,0.0,bottom
C307,99.68,-95.7,0.0,bottom
C308,93.14,-100.52,0.0,bottom
C309,96.43,-95.7,0.0,bottom
C310,98.06,-97.31,0.0,bottom
C311,93.14,-98.92,0.0,bottom
C312,94.8,-100.52,0.0,bottom
C313,93.15,-97.31,0.0,bottom
C314,93.15,-95.71,0.0,bottom
C315,96.42,-98.92,0.0,bottom
C316,94.81,-97.31,0.0,bottom
C317,96.43,-97.31,0.0,bottom
C318,98.06,-95.7,0.0,bottom
C319,94.8,-98.92,0.0,bottom
C320,98.06,-98.91,0.0,bottom
C321,94.81,-95.71,0.0,bottom
C322,101.3,-95.7,0.0,bottom
C323,98.86,-94.875,180.0,bottom
C324,99.71,-92.6,0.0,bottom
C325,98.09,-92.6,0.0,bottom
C326,96.47,-92.6,0.0,bottom
C327,94.79,-92.62,0.0,bottom
