Designator,Footprint,Quantity,Value,LCSC Part #
BT201,PinHeader_1x02_P1.00mm_Vertical,1,Battery_Cell,
C204,0402,1,220nF,
"C205, C216, C217, C219, C237, C301, C302, C303, C304, C305, C306, C307, C308, C309, C310, C311, C312, C313, C314, C315, C316, C317, C318, C319, C320, C321, C322, C323, C326, C328, C329, C330, C331, C333, C335, C337, C404, C419, C507, C509, C515",0402,41,1uF,
"C210, C701, C702, C704",0402,4,10nF,
"C211, C212, C213, C214, C215, C222, C233, C234, C236, C422, C425, C805, C902, C903",0603,14,10uF,
"C218, C220, C221, C223, C224, C225, C226, C235, C508, C901",0402,10,4.7uF,
"C227, C228, C229, C230",0603,4,22uF,
C232,0402,1,47nF,
C238,0402,1,8.2uF,
"C324, C325",0402,2,1nF,
"C327, C339, C401, C402, C403, C405, C406, C407, C408, C409, C410, C411, C412, C413, C414, C415, C416, C417, C418, C420, C421, C423, C424, C426, C427, C428, C429, C430, C502, C503, C504, C510, C511, C512, C513, C514, C802, C804, C904, C905",0402,40,100nF,
C332,CAPCP3225X100N,1,CPH3225A,
"C334, C336, C338, C505, C506",0402,5,2.2uF,
"C601, C602, C703, C705",0402,4,6.8pF,
C803,0402,1,100pF,
"D1, D2",0402,2,LED,
"D203, D701",TVS_PTVS3V3S1UR,2,PTVS3V3S1UR,
D601,0402,1,LED_B,
D602,0402,1,LED_R,
D801,DIODE_ESDA7P120-1U1M_STM,1,ESDA7P120-1U1M,
J1,SAMESKY_SJ3-35024K-SMT-TR,1,SJ3-35024K-SMT-TR,
J2,CONN_2-1734248-0_TYCO,1,2-1734248-0,
J501,GCT_MEM2090-00-145-00-A_REVA,1,MEM2090-00-145-00-A_REVA,
J701,SAMTEC_FTSH-107-01-L-DV-K-A,1,FTSH-107-01-L-DV-K-A,
J801,GCT_USB4215-03-A_REVA,1,USB4215-03-A_REVA,
J901,MOLEX_73412-0110,1,73412-0110,
"L202, L203, L204, L205, L206",1008,5,1uH,
L301,0603,1,1uH,
L901,L_Murata_DFE201610P,1,1uH,
"R201, R202, R219, R404, R405, R701, R706, R709, R710, R711",0402,10,10k,
"R209, R210, R220, R221, R713",0402,5,1k,
R212,0603,1,10m,
"R215, R512, R513, R702, R703, R704, R705, R707, R708, R712, R901, R902, R903",0402,13,0,
R216,0402,1,5k25,
R217,0402,1,31k23,
R218,0402,1,317,
"R401, R402",0402,2,240,
"R403, R715",0402,2,100,
"R406, R407, R408, R409, R410, R411, R412, R413, R414, R415, R416, R417, R418, R419, R420, R421, R422, R423, R424, R425, R426, R427, R428, R429, R430",0402,25,56,
"R501, R904",0402,2,22,
"R502, R503, R504, R505, R506, R507, R508, R509, R510, R511, R514, R515, R516, R517, R518, R519, R905, R906, R907, R908, R909",0402,21,47k,
"R601, R602",0402,2,~,
"R603, R604",0402,2,4k7,
R714,0402,1,10,
R801,0402,1,3k,
"S201, S601, S602, S603, S604, S605, S701",SW_EVQ-9P701P,7,EVQ-9P701P,
S702,SW_DS04-254-2-03BK-SMT,1,DS04-254-2-03BK-SMT,
TH201,PinHeader_1x02_P1.00mm_Vertical,1,Thermistor,
"TP201, TP202, TP203, TP204, TP205, TP206, TP207, TP208, TP209, TP210, TP211, TP212, TP401, TP402, TP403, TP601, TP602, TP701, TP702, TP703, TP704, TP705, TP706, TP707, TP708, TP709, TP710, TP801, TP802, TP803, TP804, TP805, TP806, TP901, TP902, TP903, TP904, TP905, TP906, TP907, TP908",TP_0.5mm,41,TestPoint,
U1,FBGA100_ISI,1,IS21ES08GA-JQLI-TR,
U201,SON50P300X200X60-10N,1,STC3115IQT,
U203,QFN40P600X500X80-45N,1,STPMIC1APQR,
U3,BQ24298,1,BQ24298RTWR,
U301,ST_LFBGA-354_16x16mm_Layout19x19_P0.8mm,1,STM32MP157FABx,
U401,BGA96C80P9X16_1400X800X120,1,MT41K256M16TW-107_P,
"U502, U503, U701, U702, U802",IC_HSP051-4M10,5,HSP051-4M10,
U801,MLP14_2P5X2P5_ONS,1,FUSB302BMPX,
U901,XCVR_LBEE5PK2AE-771,1,LBEE5PK2AE-771,
Y601,XTAL_NX2012SA-32.768K-STD-MUB-1,1,NX2012SA-32.768K,
Y701,Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm,1,ECS-2520MVQ-240,
