Designator,Mid X,Mid Y,Rotation,Layer
BT201,70.55,-87.288207,270.0,top
C204,75.65,-87.288207,270.0,top
C205,73.65,-87.288207,90.0,top
C210,40.9,-118.32,90.0,top
C211,82.85,-94.688207,180.0,top
C212,82.35,-89.788207,270.0,top
C213,72.55,-95.788207,0.0,top
C214,72.35,-91.588207,0.0,top
C215,80.85,-89.238207,270.0,top
C216,73.65,-89.763207,270.0,top
C217,76.35,-89.763207,270.0,top
C218,76.1225,-99.698207,90.0,top
C219,78.15,-89.763207,270.0,top
C220,72.675,-89.763207,270.0,top
C221,77.25,-89.763207,270.0,top
C222,79.35,-89.238207,90.0,top
C223,77.1225,-99.698207,90.0,top
C224,75.45,-89.763207,270.0,top
C225,74.55,-89.763207,270.0,top
C226,78.0225,-99.698207,90.0,top
C227,84.75,-97.563207,270.0,top
C228,84.5,-89.813207,270.0,top
C229,69.35,-96.488207,270.0,top
C230,69.35,-92.288207,270.0,top
C232,83.52,-82.84,0.0,top
C233,80.9325,-86.785,180.0,top
C234,81.02,-85.11,180.0,top
C235,83.52,-81.55,180.0,top
C236,78.01,-85.11,0.0,top
C237,81.8875,-79.01,180.0,top
C238,83.52,-80.58,180.0,top
C301,78.560589,-69.639411,135.0,bottom
C302,82.87,-72.966291,0.0,bottom
C303,81.03,-72.966291,0.0,bottom
C304,78.065468,-72.489695,135.0,bottom
C305,82.813533,-66.910589,315.0,bottom
C306,79.110589,-65.160589,45.0,bottom
C307,83.600969,-70.989411,315.0,bottom
C308,84.389411,-68.510589,315.0,bottom
C309,78.439411,-66.460589,315.0,bottom
C310,82.089411,-66.060589,315.0,bottom
C311,80.48571,-66.069453,315.0,bottom
C312,82.089411,-64.460589,315.0,bottom
C313,81.289411,-68.510589,135.0,bottom
C314,83.639411,-64.460589,315.0,bottom
C315,82.789411,-68.410589,315.0,bottom
C316,84.45,-73.68,90.0,bottom
C317,79.889411,-68.310589,315.0,bottom
C318,81.261119,-70.085348,135.0,bottom
C319,84.439411,-66.860589,315.0,bottom
C320,85.9,-70.82,270.0,bottom
C321,85.9,-68.97,270.0,bottom
C322,85.9,-67.12,270.0,bottom
C323,85.9,-65.27,270.0,bottom
C324,85.9,-72.68,270.0,bottom
C325,85.3,-63.18,270.0,bottom
C326,75.85,-71.22,270.0,bottom
C327,77.3,-71.22,270.0,bottom
C328,76.73,-69.5,180.0,bottom
C329,72.17,-62.35,0.0,bottom
C330,76.73,-68.55,0.0,bottom
C331,84.089411,-65.610589,135.0,bottom
C332,70.5875,-61.2,0.0,top
C333,74.85,-70.57,90.0,bottom
C334,86.25,-62.42,270.0,bottom
C335,85.65,-75.62,90.0,bottom
C336,82.78,-75.65,180.0,bottom
C337,83.2,-62.87,270.0,bottom
C338,82.82,-74.7,180.0,bottom
C339,74.85,-72.82,270.0,bottom
C401,15.1,-91.92,0.0,top
C402,100.673415,-74.3774,0.0,top
C403,99.453415,-63.2774,180.0,top
C404,115.52,-71.33,180.0,top
C405,115.5,-67.8,0.0,top
C406,115.5,-69.77,0.0,top
C407,103.633415,-76.9674,270.0,bottom
C408,105.603415,-76.9674,270.0,bottom
C409,99.573415,-61.2974,270.0,bottom
C410,101.543415,-61.2974,270.0,bottom
